id;title
3093260290;Ordered interpersonal synchronisation in ASD children via robots.
2791907682;Development and Evaluation of an Interactive Therapy Robot
3135908719;Attachment styles moderate customer responses to frontline service robots: Evidence from affective, attitudinal, and behavioral measures
2059546446;Humanly space objects—Perception and connection with the observer
2962480806;Performance Analysis of Unimodal and Multimodal Models in Valence-Based Empathy Recognition
2981376758;Perceived Mistreatment and Emotional Capability Following Aggressive Treatment of Robots and Computers
3157600114;Can communication with social robots influence how children develop empathy? Best-evidence synthesis
3158476941;Promises and trust in human-robot interaction.
2929048143;Good robot design or machiavellian?: an in-the-wild robot leveraging minimal knowledge of passersby's culture
2735800117;Approaches for Generating Empathy: A Systematic Mapping
3131453300;“Hit the Robot on the Head With This Mallet” – Making a Case for Including More Open Questions in HRI Research
2969264810;Development of an Effective Information Media Using Two Android Robots
90393491;Ethical and Technical Aspects of Emotions to Create Empathy in Medical Machines
2974326827;Amygdala-inspired affective computing: To realize personalized intracranial emotions with accurately observed external emotions
2293470506;Influence of Upper Body Pose Mirroring in Human-Robot Interaction
3100362702;An Autonomous Cognitive Empathy Model Responsive to Users’ Facial Emotion Expressions
2909989773;Band of Brothers and Bolts: Caring About Your Robot Teammate
2911875319;Degrees of Empathy: Humans’ Empathy Toward Humans, Animals, Robots and Objects
3093482637;Robot Mirroring: Promoting Empathy with an Artificial Agent by Reflecting the User’s Physiological Affective States
3156501751;Empathic responses and moral status for social robots: an argument in favor of robot patienthood based on K. E. Løgstrup
2900150883;Effect of Explicit Emotional Adaptation on Prosocial Behavior of Humans towards Robots depends on Prior Robot Experience
2935842681;Development of a Cloud-based Computational Framework for an Empathetic Robot
2529322580;Robot as Tutee
2570599691;Compassion, empathy and sympathy expression features in affective robotics
2990152296;Motions with Emotions? : A Phenomenological Approach to Understanding the Simulated Aliveness of a Robot Body
3089272957;A Reinforcement Learning Based Cognitive Empathy Framework for Social Robots
2956276402;User Experience Study: The Service Expectation of Hotel Guests to the Utilization of AI-Based Service Robot in Full-Service Hotels
3107110953;EEG based functional connectivity analysis of human pain empathy towards humans and robots.
3134300827;Building a Collaborative Relationship between Human and Robot through Verbal and Non-Verbal Interaction
2781760502;Profissionalismo público em uma era de transformações radicais: seu significado, desafios e treinamento
2886814486;Application of autoencoders in cyber-empathic design
3084602142;Empathetic Speech Synthesis and Testing for Healthcare Robots
2978170619;The Role of Animism Tendencies and Empathy in Adult Evaluations of Robot
3087295506;Seeing the mind of robots: Harm augments mind perception but benevolent intentions reduce dehumanisation of artificial entities in visual vignettes.
2587739913;A laughing-driven pupil response system for inducing empathy
2528708407;MuDERI: Multimodal Database for Emotion Recognition Among Intellectually Disabled Individuals
2764000623;Empathizing with emotional robot based on cognition reappraisal
2611261464;Evolving artificial pain from fault detection through pattern data analysis
2508565453;Emotion Recognition Using Facial Expression Images for a Robotic Companion
2899525949;Emotion Differentiation based on Decision-Making in Emotion Model
3133317345;A composite framework for supporting user emotion detection based on intelligent taxonomy handling
2903301630;Smiles of Children with ASD May Facilitate Helping Behaviors to the Robot
2107915637;Social and empathic behaviours: Novel interfaces and interaction modalities
3094215526;Increasing Engagement with Chameleon Robots in Bartending Services
2899713253;Evaluation of Classifiers for Emotion Detection While Performing Physical and Visual Tasks: Tower of Hanoi and IAPS
2559326378;Evaluation of a head motion synchronization system in the communicative process between human and robot
3091242709;DELEX: a DEep Learning Emotive eXperience: Investigating empathic HCI
2504756730;Expression of Emotions by a Service Robot: A Pilot Study
3113397980;Perspective-Taking of Non-Player Characters in Prosocial Virtual Reality Games: Effects on Closeness, Empathy, and Game Immersion
3131958508;Personality Traits Assessment using P.A.D. Emotional Space in Human-robot Interaction.
3019281085;Human-Robot Interaction based on Facial Expression Imitation
3138049487;Vocal Synchrony of Robots Boosts Positive Affective Empathy
3026658219;The Role of Personality Factors and Empathy in the Acceptance and Performance of a Social Robot for Psychometric Evaluations
3127104011;Development and Testing of Psychological Conflict Resolution Strategies for Assertive Robots to Resolve Human-Robot Goal Conflict.
3005186062;Empathic responses to unknown others are modulated by shared behavioural traits.
2506698290;DESIGNING A ROBOTIC INTERFACE FOR CHILDREN: THE MONARCH ROBOT EXAMPLE
2294294917;The Affective Loop: A Tool for Autonomous and Adaptive Emotional Human-Robot Interaction
2991463001;Affective Embodied Agents and Their Effect on Decision Making.
2794314064;An examination of gender differences versus similarities in a virtual world
2888739605;Incremental Learning of Human Emotional Behavior for Social Robot Emotional Body Expression
2073972564;Evaluation of the emotional answer in HRI on a game situation
3042250753;Intelligent humanoid robots expressing artificial humanlike empathy in nursing situations
3110311020;Expression of Grounded Affect: How Much Emotion Can Arousal Convey?
2135423632;Cyrafour: How Two Human Avatars Communicate With Each Other
2567601827;Human-Robot Interactoin Design for Robot-Assisted Intervention for Children with Autism Based on E-S Theory
2546684688;Analyzing Human-Avatar Interaction with Neurotypical and not Neurotypical Users
3011131157;Robot Enhanced Therapy for Autistic Children: An Ethical Analysis
3087297405;An open-source social robot based on CompliAnt SofT Robotics for therapy with children with ASD
3093876711;Intersectional AI: A Study of How Information Science Students Think about Ethics and Their Impact
2958813519;Towards a Multimodal Time-Based Empathy Prediction System
2400584822;Biophilic Evolutionary Buildings that Restore the Experience of Animality in the City
2425741675;Poetry writing and artistic ability in problem-based learning
2944492778;Hybrid spiral stc-hedge algebras model in knowledge reasonings for robot coverage path planning and its applications
3038265118;Artificial Intelligence and Robotics in Nursing: Ethics of Caring as a Guide to Dividing Tasks Between AI and Humans
3129587193;Artificial Empathy for Clinical Companion Robots with Privacy-By-Design
3041224585;Emotion Synchronization Method for Robot Facial Expression
2941805380;A pupil response system using hemispherical displays for enhancing affective conveyance
3041933250;A Sociolinguistic Route to the Characterization and Detection of the Credibility of Events on Twitter
2245472831;Facial Expression of Social Interaction Based on Emotional Motivation of Animal Robot
2528822309;The Effects of Cognitive Biases in Long-Term Human-Robot Interactions: Case Studies Using Three Cognitive Biases on MARC the Humanoid Robot
3133640410;Impact of human-robot interaction on user satisfaction with humanoid-based healthcare
2952114518;Ideal Warrior and Robot Relations: Stress and Empathy's Role in Human-Robot Teaming
3087665370;A Robot Has a Mind of Its Own Because We Intuitively Share It
3089962427;Personal quizmaster: a pattern approach to personalized interaction experiences with the MiRo robot
2965222815;Development of a Pupil Response System with Empathy Expression in Face-to-Face Body Contact
2014831908;Modeling and Simulating Empathic Behavior in Social Assistive Robots
3013280359;Predicting Future Alleviation of Mental Illness in Social Media: An Empathy-Based Social Network Perspective
3099130608;Differential facial articulacy in robots and humans elicit different levels of responsiveness, empathy, and projected feelings
966236943;Teach Your Robot How You Want It to Express Emotions
3094037564;The Maze of Realizing Empathy with Social Robots
3133501623;Helper's High with a Robot Pet
2938957361;Effectiveness Of Android-Based Mobile Robots For Children Asperger Syndrome
3160128201;Deep learning-based facial expression recognition and analysis for filipino gamers
